Year,region_name,Region,Number of Enrollees,Number of Schools,DepEd Budget,Budget_Enrollees,Budget_Schools,Mimaropa,National Capital Region (NCR),Region I - Ilocos,Region II - Cagayan Valley,Region III - Central Luzon,Region IVA - Calabarzon,Region IX - Zamboanga Peninsula,Region V - Bicol,Region VI - Western Visayas,Region VII - Central Visayas,Region VIII - Eastern Visayas,Region X - Nothern Mindanao,Region XI - Davao,Region XII - Soccsksargen,Region XIII - Caraga,Cluster,Cluster(Discrete),PC1,PC2,PC3
2024,Eastern Visayas,Region VIII - Eastern Visayas,882686,630,38401249000,43504.99385,60954363.49,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,1,-1.0367037942335755,2.7695218795268977,0.5347249500596568
2020,Zamboanga Peninsula,Region IX - Zamboanga Peninsula,1030861,417,20579099000,19963.02023,49350357.31,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,1,-1.0719356722174975,-1.883630487930724,-0.012321211507450053
2021,Zamboanga Peninsula,Region IX - Zamboanga Peninsula,1082236,422,22939289000,21196.19843,54358504.74,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,1,-0.9371882821365493,-1.2456801229770755,0.29194988912041847
2022,Zamboanga Peninsula,Region IX - Zamboanga Peninsula,957341,433,24616970000,25713.89923,56852124.71,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,1,-1.1222105979917547,-0.31517007847010636,0.5527213707330733
2023,Zamboanga Peninsula,Region IX - Zamboanga Peninsula,1013032,446,26838629000,26493.36744,60176298.21,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,1,-0.9794235701404462,0.2967891624548549,0.7741517539275335
2024,Zamboanga Peninsula,Region IX - Zamboanga Peninsula,728485,478,28084697000,38552.19668,58754596.23,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,1,-1.6447061946319617,1.911742024029688,0.961849970530013
2020,Northern Mindanao,Region X - Nothern Mindanao,1293092,472,22490087000,17392.48793,47648489.41,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.6234620165637074,-1.9900688488679856,-0.2980466063624136
2021,Northern Mindanao,Region X - Nothern Mindanao,1350026,542,25312196000,18749.41371,46701468.64,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.43692942981498056,-1.2153000907100973,-0.3948490709319987
2022,Northern Mindanao,Region X - Nothern Mindanao,1224747,591,27178637000,22191.22562,45987541.46,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.5421461681517215,-0.30366272467451977,-0.3780838397524214
2023,Northern Mindanao,Region X - Nothern Mindanao,1298530,615,29658266000,22839.8774,48224822.76,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.3662592922892882,0.32054159729045534,-0.22915318288192157
2024,Northern Mindanao,Region X - Nothern Mindanao,1150498,646,30743021000,26721.49017,47589815.79,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.5701624541694515,1.225679223148289,-0.13750910329793836
2020,Davao,Region XI - Davao,1289331,441,22639911000,17559.425,51337666.67,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,-0.6320271170355007,-2.0300934598470226,-0.0800714239127138
