Year,region_name,Region,DAR,DA,DENR,DOF,DOH,DHSUD,DICT,DOJ,DOLE,DPWH,DOST,DSWD,DILG,DTI,DOTr,NEDA,total,Population,GRDP,agri_land,agri_volume,poverty_population
2024,Central Visayas,Region VII - Central Visayas,372119000,3109586000,910740000,562474000,6611704000,57158000,17712000,87715000,659993000,21422772000,353551000,11486590000,1312886000,256958000,228837000,192538000,47643333000,8315664,1.82264E+12,630836.78,1653876.61,4758700
2020,Eastern Visayas,Region VIII - Eastern Visayas,581674000,1706682000,1105169000,262891000,1273705000,0,29611000,152532000,200651000,15551156000,225397000,9003958000,873840000,411576000,136966000,157390000,31673198000,4742337,4.14266E+11,1000284.37,4335543.9,1420280
2021,Eastern Visayas,Region VIII - Eastern Visayas,638454000,2237649000,1250406000,294071000,1588827000,15167000,14158000,159024000,213770000,19086789000,280441000,9034223000,853259000,504212000,160124000,167976000,36498550000,4803767,4.50147E+11,959548.23,4223266.85,1389060
2022,Eastern Visayas,Region VIII - Eastern Visayas,622766000,1975887000,1140132000,336207000,1885785000,18331000,17543000,156961000,226799000,21953039000,282842000,9185819000,859532000,609471000,155177000,177310000,39603601000,4865157,5.12827E+11,934154.54,4142587.49,1389060
2023,Eastern Visayas,Region VIII - Eastern Visayas,700074000,3584498000,1246564000,359009000,2671701000,39167000,18713000,152881000,639179000,19951791000,356615000,9428581000,947086000,181374000,313299000,185283000,40775815000,4926495,5.68718E+11,943194.58,4294375.94,1342680
2024,Eastern Visayas,Region VIII - Eastern Visayas,630886000,4079756000,1331110000,411553000,2694614000,49154000,19426000,152042000,723796000,17483224000,463076000,10883092000,1172758000,313673000,172494000,263093000,40843747000,4987965,6.21905E+11,911462.93,4262178.9,1342680
2020,Zamboanga Peninsula,Region IX - Zamboanga Peninsula,279286000,1368605000,964151000,248144000,2402233000,0,20761000,116064000,161348000,10331751000,237726000,9715156000,601536000,334298000,121348000,133428000,27035835000,3782761,3.94822E+11,1098153.25,5707514.84,1217780
2021,Zamboanga Peninsula,Region IX - Zamboanga Peninsula,297618000,1611894000,986590000,282543000,2615955000,15674000,54558000,121807000,205956000,9720479000,351932000,9695883000,628529000,453979000,143673000,130720000,27317790000,3809540,4.28107E+11,1132099.02,5901055,1145120
2022,Zamboanga Peninsula,Region IX - Zamboanga Peninsula,281499000,1297150000,977102000,363051000,2958928000,16568000,22985000,150633000,210289000,8733551000,253660000,10012407000,615847000,475597000,141089000,137077000,26647433000,3834801,4.90181E+11,1119511.98,5884664.49,1145120
2023,Zamboanga Peninsula,Region IX - Zamboanga Peninsula,313439000,2299090000,947892000,367749000,3545809000,37077000,52094000,118050000,418877000,10966138000,300963000,10097303000,698583000,151037000,138219000,148060000,30600380000,3858548,5.31738E+11,1135153.06,5983704.87,1221640
2024,Zamboanga Peninsula,Region IX - Zamboanga Peninsula,319282000,3077232000,1080850000,388965000,3934478000,42820000,34430000,153200000,488980000,7561480000,301772000,11205868000,862061000,186885000,148144000,169755000,29956202000,3880826,5.82571E+11,1118151.06,5800605.11,1221640
2020,Northern Mindanao,Region X - Nothern Mindanao,417168000,1356344000,934507000,354371000,2559728000,25257000,19543000,51695000,230281000,14046144000,323119000,8546750000,735620000,394335000,121097000,145429000,30261388000,5017051,8.60415E+11,1476823.43,8113707.6,1129180
2021,Northern Mindanao,Region X - Nothern Mindanao,445273000,1990521000,976707000,371345000,2978550000,26565000,21490000,52536000,247132000,16686868000,327769000,8557833000,719397000,508406000,134856000,141758000,34187006000,5074563,9.48892E+11,1506323.14,8362453.37,1323070
2022,Northern Mindanao,Region X - Nothern Mindanao,407781000,1633046000,1082200000,447028000,3529100000,39395000,20689000,48898000,263265000,15798118000,310177000,8942303000,714883000,589348000,147694000,153972000,34127897000,5128964,1.07079E+12,1538409.27,8428998.54,1323070
2023,Northern Mindanao,Region X - Nothern Mindanao,431964000,3380373000,982674000,490355000,4657578000,51472000,35904000,49860000,784178000,15264372000,292657000,9577080000,769962000,216960000,158908000,166662000,37310959000,5180245,1.1801E+12,1515366.55,8533681.91,1309550
2024,Northern Mindanao,Region X - Nothern Mindanao,410236000,4064923000,1056727000,633353000,5076695000,54359000,30448000,42711000,726882000,16026127000,355509000,10417354000,958413000,214128000,166808000,188678000,40423351000,5228550,1.27344E+12,1512182.26,8386822.08,1309550
2020,Davao,Region XI - Davao,350472000,1694161000,945409000,318420000,3865220000,22047000,27698000,317963000,286002000,17128441000,253955000,8891345000,623278000,458929000,124307000,148796000,35456443000,5290869,8.90608E+11,965595.11,5458846.73,978170
